Q,pct,t,rmse,mae,max_abs
-25000.0,-37.5,0.25,0.19698131362948665,0.1429176228199603,4.818416308593754
-25000.0,-37.5,0.5,0.15234954610670678,0.10922177988769541,5.154950769042969
-25000.0,-37.5,0.75,0.13656458944684347,0.09110121975016278,5.341360693359377
-25000.0,-37.5,1.0,0.13110948172768652,0.0910288158246528,5.255491857910158
-25000.0,-37.5,2.0,0.20692008708270793,0.16372948748087568,5.756802758789064
-25000.0,-37.5,3.0,0.2107335105363519,0.16872397308227538,5.789272033691404
-25000.0,-37.5,4.0,0.19573527037974484,0.1562564373619249,5.775152832031253
-25000.0,-37.5,5.0,0.17181544264371548,0.13359911022054036,5.74088931884765
-25000.0,-37.5,6.0,0.14577776349717317,0.10604038888929578,5.699099230957032
-25000.0,-37.5,7.0,0.12225324134744536,0.07939290680813259,5.656313110351562
-25000.0,-37.5,8.0,0.10447829806053671,0.06114129775960287,5.615578662109371
-25000.0,-37.5,9.0,0.0943348535932836,0.05550570262342662,5.578728601074218
-25000.0,-37.5,10.0,0.09170064209186377,0.054810769530164914,5.546419616699225
-25000.0,-37.5,11.0,0.09443472462083505,0.05980614996487088,5.519195043945317
-25000.0,-37.5,12.0,0.09972912569675252,0.06627694600301108,5.497147534179689
-25000.0,-37.5,13.0,0.10536258056398043,0.07218905040771484,5.4802512084960995
-25000.0,-37.5,14.0,0.10997882639653972,0.07715905411878796,5.468454846191406
-25000.0,-37.5,15.0,0.11288845670280112,0.08071673160508896,5.4614903320312465
-25000.0,-37.5,16.0,0.11382666638402239,0.08236560570163304,5.458988732910157
-25000.0,-37.5,17.0,0.11280914685145607,0.08170300407240128,5.46055740966797
-25000.0,-37.5,18.0,0.1100504062390058,0.07882072904351128,5.465726611328122
-25000.0,-37.5,19.0,0.10592304366145429,0.07405845224487308,5.473887622070308
-25000.0,-37.5,20.0,0.10095590015295365,0.06802609080796986,5.484316467285154
-25000.0,-37.5,21.0,0.09585129243352038,0.06206738470540364,5.496534948730471
-25000.0,-37.5,22.0,0.09150803443244207,0.058532946665988496,5.509880126953121
-25000.0,-37.5,23.0,0.08900813546051664,0.057360679846327034,5.523611950683588
-25000.0,-37.5,24.0,0.08947642038382858,0.05781018602823896,5.537143774414062
-25000.0,-37.5,25.0,0.09380333943477208,0.060137472414008235,5.549927099609377
-25000.0,-37.5,26.0,0.10238275338120234,0.06486865580702039,5.5612363159179665
-25000.0,-37.5,27.0,0.11510309826434596,0.07206373027574327,5.570744995117181
-25000.0,-37.5,28.0,0.13157101092628196,0.0815756906933594,5.5778572265625
-25000.0,-37.5,29.0,0.15135595115266948,0.09342163987562391,5.582153393554691
-25000.0,-37.5,30.0,0.17408029645688142,0.1075785362859429,5.583259655761722
-30000.0,-25.0,0.25,0.2014979494822717,0.13777101484537804,5.893000744628907
-30000.0,-25.0,0.5,0.13643658021701255,0.09412924304022903,6.315472033691407
